1,1,Ponta Delgada
2,1,Ribeira Grande
3,1,Lagoa
4,1,Nordeste
5,1,Povoação
6,1,Vila Franca do Campo
7,2,Vila do Porto
8,3,Lajes do Pico
9,3,Madalena
10,3,São Roque do Pico
11,4,Horta
12,5,Calheta
13,5,Velas
14,6,Angra do Heroísmo
15,6,Praia da Vitória
16,7,Santa Cruz da Graciosa
17,8,Santa Cruz das Flores
18,8,Lajes das Flores
19,9,Vila do Corvo
